id;nombre
1;Lengua, Comunicación y Cultura
2;Matemática, Ciencias Naturales y Sociedad
3;Ciencias Sociales, Ciudadanía e Identidad
4;Educación Física, Deporte y Recreación
5;Castellano
6;Matemática
7;Inglés y Otras Lenguas Extranjeras
8;Ciencias Naturales
9;Geografía, Historia y Ciudadanía (GHC)
10;Arte y Patrimonio
11;Educación Física
12;Orientación y Convivencia
13;Participación en Grupos de CRP (Cultura, Recreación y Producción)
14;Biología
15;Química
16;Física
17;Formación para la Soberanía Nacional
18;Ciencias de la Tierra
