id;nombre;seccion;nivel_id
1;1.º Grado;A;1
2;1.º Grado;B;1
3;1.º Grado;C;1
4;1.º Grado;D;1
5;1.º Grado;E;1
6;2.º Grado;A;1
7;2.º Grado;B;1
8;2.º Grado;C;1
9;2.º Grado;D;1
10;2.º Grado;E;1
11;3.º Grado;A;1
12;3.º Grado;B;1
13;3.º Grado;C;1
14;3.º Grado;D;1
15;3.º Grado;E;1
16;4.º Grado;A;1
17;4.º Grado;B;1
18;4.º Grado;C;1
19;4.º Grado;D;1
20;4.º Grado;E;1
21;5.º Grado;A;1
22;5.º Grado;B;1
23;5.º Grado;C;1
24;5.º Grado;D;1
25;5.º Grado;E;1
26;6.º Grado;A;1
27;6.º Grado;B;1
28;6.º Grado;C;1
29;6.º Grado;D;1
30;6.º Grado;E;1
31;1.º Año;A;2
32;1.º Año;B;2
33;1.º Año;C;2
34;1.º Año;D;2
35;1.º Año;E;2
36;2.º Año;A;2
37;2.º Año;B;2
38;2.º Año;C;2
39;2.º Año;D;2
40;2.º Año;E;2
41;3.º Año;A;2
42;3.º Año;B;2
43;3.º Año;C;2
44;3.º Año;D;2
45;3.º Año;E;2
46;4.º Año;A;2
47;4.º Año;B;2
48;4.º Año;C;2
49;4.º Año;D;2
50;4.º Año;E;2
51;5.º Año;A;2
52;5.º Año;B;2
53;5.º Año;C;2
54;5.º Año;D;2
55;5.º Año;E;2
